date,steps
2019-07-03,11821
2019-07-04,11074
2019-07-05,14595
2019-07-06,8382
2019-07-07,8208
2019-07-08,11034
2019-07-09,9628
2019-07-10,12532
2019-07-11,6668
2019-07-12,8645
2019-07-13,10145
2019-07-14,9426
2019-07-15,6354
2019-07-16,4918
2019-07-17,10090
2019-07-18,8892
2019-07-19,12337
2019-07-20,13035
2019-07-21,8408
2019-07-22,6881
2019-07-23,6390
2019-07-24,11536
2019-07-25,10325
2019-07-26,10401
2019-07-27,13038
2019-07-28,10587
2019-07-29,7942
2019-07-30,7931
2019-07-31,7789
2019-08-01,5917
2019-08-02,10051
2019-08-03,10912
2019-08-04,10098
2019-08-05,9778
2019-08-06,6711
2019-08-07,9405
2019-08-08,8057
2019-08-09,9421
2019-08-10,10949
2019-08-11,7780
2019-08-12,9402
2019-08-13,7329
2019-08-14,7190
2019-08-15,8081
2019-08-16,5889
2019-08-17,17795
2019-08-18,19271
2019-08-19,11275
2019-08-20,10865
2019-08-21,8023
2019-08-22,11276
2019-08-23,6731
2019-08-24,6197
2019-08-25,11368
2019-08-26,11086
2019-08-27,8723
2019-08-28,11395
2019-08-29,9406
2019-08-30,15292
2019-08-31,17030
2019-09-01,13964
2019-09-02,2789
2019-09-03,7496
2019-09-04,8636
2019-09-05,10089
2019-09-06,6271
2019-09-07,8115
2019-09-08,10692
2019-09-09,7562
2019-09-10,8328
2019-09-11,8720
2019-09-12,7482
2019-09-13,7965
2019-09-14,12214
2019-09-15,12106
2019-09-16,11530
2019-09-17,7416
2019-09-18,11208
2019-09-19,10793
2019-09-20,9861
2019-09-21,7120
2019-09-22,9650
2019-09-23,9857
2019-09-24,9693
2019-09-25,7264
2019-09-26,8491
2019-09-27,1750
2019-09-28,11681
2019-09-29,8898
2019-09-30,8061
2019-10-01,8153
2019-10-02,7532
2019-10-03,8480
2019-10-04,5342
2019-10-05,5597
2019-10-06,7436
2019-10-07,10427
2019-10-08,9605
2019-10-09,12017
2019-10-10,4914
2019-10-11,5007
2019-10-12,7337
2019-10-13,6264
2019-10-14,16112
2019-10-15,9360
2019-10-16,9720
2019-10-17,7933
2019-10-18,6668
2019-10-19,10490
2019-10-20,10287
2019-10-21,8426
2019-10-22,8549
2019-10-23,7791
2019-10-24,6777
2019-10-25,6811
2019-10-26,7637
2019-10-27,6138
2019-10-28,8584
2019-10-29,11372
2019-10-30,6590
2019-10-31,13645
2019-11-01,6340
2019-11-02,14332
2019-11-03,13095
2019-11-04,10658
2019-11-05,7482
2019-11-06,8598
2019-11-07,8249
2019-11-08,6648
2019-11-09,8851
2019-11-10,7079
2019-11-11,6720
2019-11-12,12272
2019-11-13,8570
2019-11-14,9827
2019-11-15,6517
2019-11-16,8168
2019-11-17,6198
2019-11-18,7860
2019-11-19,7079
2019-11-20,9921
2019-11-21,6715
2019-11-22,7173
2019-11-23,14311
2019-11-24,6320
2019-11-25,10947
2019-11-26,13681
2019-11-27,7964
2019-11-28,10461
2019-11-29,7051
2019-11-30,8583
2019-12-01,6958
2019-12-02,9793
2019-12-03,7341
2019-12-04,8492
2019-12-05,8312
2019-12-06,8970
2019-12-07,12517
2019-12-08,10532
2019-12-09,11703
2019-12-10,11807
2019-12-11,10448
2019-12-12,7557
2019-12-14,8430
2019-12-15,18080
2019-12-16,10623
2019-12-17,8563
2019-12-18,9829
2019-12-19,9194
2019-12-20,7765
2019-12-21,19855
2019-12-22,15487
2019-12-23,15130
2019-12-24,9429
2019-12-25,10688
2019-12-26,10121
2019-12-27,18278
2019-12-28,12886
2019-12-29,22268
2019-12-30,10318
2019-12-31,11697
2020-01-01,9307
2020-01-02,7289
2020-01-03,14793
2020-01-04,11122
2020-01-05,9701
2020-01-06,10999
2020-01-07,9597
2020-01-08,11223
2020-01-09,11181
2020-01-10,10388
2020-01-11,11650
2020-01-12,12816
2020-01-13,9591
2020-01-14,9282
2020-01-15,6305
2020-01-16,8670
2020-01-17,6909
2020-01-18,5116
2020-01-19,12484
2020-01-20,18861
2020-01-21,12219
2020-01-22,9335
2020-01-23,9493
2020-01-24,6565
2020-01-25,18419
2020-01-26,9620
2020-01-27,10857
2020-01-28,10482
2020-01-29,11633
2020-01-30,10131
2020-01-31,8514
2020-02-01,12204
2020-02-02,8768
2020-02-03,6986
2020-02-04,9548
2020-02-05,9152
2020-02-06,11537
2020-02-07,8071
2020-02-08,9171
2020-02-09,5966
2020-02-10,10301
2020-02-11,8787
2020-02-12,11478
2020-02-13,9319
2020-02-14,10346
2020-02-15,5735
2020-02-16,6262
2020-02-17,11980
2020-02-18,8721
2020-02-19,9444
2020-02-20,9816
2020-02-21,5499
2020-02-22,4115
2020-02-23,10035
2020-02-24,9813
2020-02-25,9152
2020-02-26,9997
2020-02-27,8137
2020-02-28,6914
2020-02-29,6175
2020-03-01,4999
